id,categories,submission_date,predicted_tag
2203.15366,cs.CV,2022-03-29 09:02:45,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Image segmentation']"
2204.00062,cs.LG,2022-03-31 20:01:36,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Multi-task learning', 'Lifelong machine learning']"
2203.05340,cs.CV,2022-03-10 12:44:05,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
2203.01193,cs.CV,2022-03-02 15:47:36,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Scene anomaly detection']"
2203.16130,cs.CV,2022-03-30 08:17:14,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Scene understanding']"
2203.09771,cs.CV,2022-03-18 07:28:14,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Reconstruction']"
2203.11474,cs.CV,2022-03-22 05:59:33,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Cognitive robotics']"
2203.06835,cs.CL,2022-03-14 03:09:56,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
2203.15674,cs.CV,2022-03-29 15:34:13,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Image segmentation']"
2203.05625,cs.CV,2022-03-10 20:33:28,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Image representations']"
2203.03153,cs.AI,2022-03-07 06:13:04,"['Computing methodologies', 'Artificial intelligence', 'Planning and scheduling', 'Planning with abstraction and generalization']"
2203.09043,cs.CV,2022-03-17 02:45:34,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
2203.16832,cs.CV,2022-03-31 06:36:07,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Scene understanding']"
2203.02331,cs.CV,2022-03-04 14:13:38,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
2203.06231,cs.RO,2022-03-11 20:17:57,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Computational control theory']"
2203.05662,cs.CV,2022-03-10 22:11:06,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Image representations']"
2203.02261,cs.CV,2022-03-04 12:18:23,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
2203.07130,cs.RO,2022-03-14 14:25:44,"['Computing methodologies', 'Artificial intelligence', 'Search methodologies', 'Heuristic function construction']"
2203.00727,cs.RO,2022-03-01 20:24:46,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Computational control theory']"
2203.14455,cs.RO,2022-03-28 02:44:47,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Evolutionary robotics']"
2203.03856,cs.CL,2022-03-08 05:19:18,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
2203.09742,cs.CL,2022-03-18 04:52:54,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
2203.12612,cs.CV,2022-03-23 17:58:31,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Hierarchical representations']"
2203.08308,cs.CL,2022-03-15 23:00:32,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
2203.08444,cs.CV,2022-03-16 07:41:07,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
2204.05599,cs.CV,2022-04-12 07:57:58,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Shape representations']"
2204.12915,cs.LG,2022-04-26 07:47:54,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Multi-task learning', 'Lifelong machine learning']"
2204.05538,cs.CV,2022-04-12 05:50:22,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Scene understanding']"
2204.04437,cs.CL,2022-04-09 09:44:05,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
2204.07195,cs.RO,2022-04-14 19:08:25,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Evolutionary robotics']"
2204.00987,cs.CV,2022-04-03 04:38:02,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Image representations']"
2204.04910,cs.MA,2022-04-11 07:19:50,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Computational control theory']"
2204.03196,cs.RO,2022-04-07 04:01:17,"['Computing methodologies', 'Artificial intelligence', 'Planning and scheduling', 'Planning with abstraction and generalization']"
2204.11475,cs.RO,2022-04-25 07:18:15,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
2204.11621,cs.RO,2022-04-25 12:47:51,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Scene understanding']"
2204.04629,cs.CL,2022-04-10 08:08:46,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
2204.08332,cs.CV,2022-04-18 14:23:10,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Reconstruction']"
2204.08083,cs.CL,2022-04-17 20:23:04,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
2205.00163,cs.LG,2022-04-30 05:25:44,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Ensemble methods', 'Boosting']"
2204.08129,cs.CV,2022-04-18 02:05:15,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
2204.13355,cs.CL,2022-04-28 08:57:47,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
2204.03730,cs.NE,2022-04-07 20:45:17,"['Computing methodologies', 'Artificial intelligence', 'Search methodologies', 'Heuristic function construction']"
2204.07780,cs.CV,2022-04-16 11:30:26,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
