modelId,createdAt,last_modified,predicted_tag
harshit345/wav2vec2-large-lv60-timit,2022-03-02 23:29:05,2021-12-11 22:38:44,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
markt23917/finetuning-sentiment-model-3000-samples,2022-03-12 07:44:57,2022-03-12 08:11:37,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
MultiBertGunjanPatrick/multiberts-seed-0-140k,2022-03-02 23:29:04,2021-10-04 04:55:41,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Description logics']"
huggingtweets/sn0ozefest,2022-03-02 23:29:05,2021-05-22 23:12:32,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
SEBIS/code_trans_t5_large_program_synthese_multitask_finetune,2022-03-02 23:29:04,2021-06-23 08:45:32,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Logic programming and answer set programming']"
cservan/fralbert-base-cased,2022-03-02 23:29:05,2024-05-16 17:42:59,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Reasoning about belief and knowledge']"
Helsinki-NLP/opus-mt-sv-mh,2022-03-02 23:29:04,2023-08-16 12:05:38,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
huggingtweets/twominutepapers,2022-03-02 23:29:05,2021-12-11 19:40:12,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
hfl/chinese-macbert-base,2022-03-02 23:29:05,2021-05-19 19:09:45,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
allenai/wmt19-de-en-6-6-base,2022-03-02 23:29:05,2023-01-24 16:28:48,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
ifis-zork/ZORK_AI_SCI_FI_TEMP,2022-03-02 23:29:05,2021-07-21 13:06:26,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Semantic networks']"
huggingtweets/doityboy,2022-03-02 23:29:05,2021-05-22 01:57:55,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
gchhablani/bert-large-cased-finetuned-rte,2022-03-02 23:29:05,2021-10-09 14:14:22,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
HeyLucasLeao/gpt-neo-small-portuguese,2022-03-02 23:29:04,2021-06-19 20:51:57,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning settings', 'Semi-supervised learning settings']"
huggingtweets/atomicthumbs,2022-03-02 23:29:05,2021-05-21 19:40:48,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
snunlp/KR-ELECTRA-generator,2022-03-02 23:29:05,2022-05-04 06:24:04,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
AdapterHub/bert-base-uncased-pf-comqa,2022-03-02 23:29:04,2021-11-15 10:30:57,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
google/multiberts-seed_1-step_700k,2022-03-02 23:29:05,2021-11-06 00:58:20,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
kika2000/wav2vec2-large-xls-r-300m-kika4_my-colab,2022-03-02 23:29:05,2022-01-28 01:03:34,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
optimum/roberta-base-squad2,2022-03-24 16:11:57,2022-03-24 16:12:36,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Factorization methods', 'Principal component analysis']"
Helsinki-NLP/opus-mt-fr-lue,2022-03-02 23:29:04,2023-08-16 11:36:48,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
mbeukman/xlm-roberta-base-finetuned-swahili-finetuned-ner-igbo,2022-03-02 23:29:05,2021-11-25 09:04:50,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Phonology / morphology']"
IDEA-CCNL/Erlangshen-Longformer-110M,2022-03-04 06:08:07,2023-05-26 06:33:15,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
google/t5-efficient-base-dm256,2022-03-02 23:29:05,2023-01-24 16:44:17,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing']"
anas-awadalla/bert-base-uncased-few-shot-k-256-finetuned-squad-seed-4,2022-03-02 23:29:05,2022-02-25 02:55:57,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Lexical semantics']"
MLRS/BERTu,2022-04-14 12:16:10,2023-07-04 13:07:39,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
foongminwong/dl-nlp,2022-04-04 02:54:33,2022-04-04 05:09:39,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
sjchoure/distilbert-base-uncased-finetuned-squad,2022-04-30 20:39:42,2022-04-30 21:02:02,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
spuun/kekbot-beta-2-medium,2022-04-25 10:51:20,2022-04-25 18:19:29,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
Intel/xlm-roberta-base-mrpc,2022-04-21 06:35:48,2022-04-21 07:08:18,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
tartuNLP/est-roberta-hist-ner,2022-04-19 14:08:36,2025-01-06 09:05:36,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
Helsinki-NLP/opus-mt-tc-big-he-en,2022-04-13 16:27:23,2023-10-10 10:25:39,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
reeda23/upside-down-detector,2022-04-07 17:00:47,2022-04-07 17:06:03,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision representations', 'Appearance and texture representations']"
kSaluja/new-test-model2,2022-04-25 14:30:04,2022-05-02 12:58:39,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
ken11/albert-base-japanese-v1-with-japanese-tokenizer,2022-04-20 16:34:22,2022-04-20 17:28:13,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
afbudiman/indobert-classification,2022-04-01 13:17:05,2022-05-06 12:54:14,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
caush/Clickbait5,2022-04-28 02:50:04,2022-04-28 03:15:08,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing']"
Helsinki-NLP/opus-mt-tc-big-bg-en,2022-04-13 15:24:05,2023-10-10 10:49:48,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
Salesforce/codegen-16B-multi,2022-04-13 00:52:09,2025-01-31 21:25:02,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
Kuray107/ls-timit-wsj0-100percent-supervised-meta,2022-04-11 22:24:57,2022-04-12 11:19:25,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
adache/distilbert-base-uncased-finetuned-emotion,2022-04-12 05:43:20,2022-04-12 07:48:16,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
Hate-speech-CNERG/hindi-codemixed-abusive-MuRIL,2022-04-25 05:12:26,2022-05-03 06:03:59,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
gsarti/it5-efficient-small-el32-wiki-summarization,2022-04-28 14:13:19,2022-10-12 13:03:53,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Motion path planning']"
ukr-models/uk-morph,2022-04-08 07:14:02,2023-08-31 09:41:07,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Lexical semantics']"
eagles/focus_sum,2022-04-13 10:33:00,2022-04-14 04:26:44,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
